#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,wget,"fetches files."
,i3-gaps,"is the main graphical user interface and window manager."
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,sxhkd,"binds key."
,zsh,"is my shell. for now?"
A,ttf-font-awesome-4,"is for icons."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,ttf-hack,"is another monospace font."
,acpi,"is used to fetch battery info."
,sysstat,"is used to fetch information about cpu, etc."
,wireless_tools,"is used to fetch wireless network info."
,compton,"is the screen compositor"
,arandr,"is a UI for screen adjustment."
,pacman-contrib,"contains contrib/ tools for pacman"
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,feh,"handles wallpapers and image previews"
,dunst,"is a suckless notification system."
,ranger,"is a terminal file manager."
,openvpn,"is used for connecting to VPNs"
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme."
,neovim,"an tidier vim with some useful features"
,i3blocks,"is the status bar."
,i3lock,"is the screen lock."
,networkmanager,"does exactly what it sounds like."
A,brave-bin,"is my browser of choice."
,atom,"is my ide."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio,"is the audio system (>inb4 bloat)."
,pulseaudio-alsa,"is an audio interface with ALSA."
,pulsemixer,"is an intuitive ncurses audio controller."
,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in LARBS."
,socat,"is a socket utility."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,zip,"zips zips."
,xclip,"allows for copying and pasting from the command line."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-djvu,"gives zathura the ability to read .djvu files."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
A,simple-mtpfs,"enables the mounting of cell phones."
,docx2txt,"enables .docx file previews in vifm."
,odt2txt,"enables .odt file previews in vifm."
,xterm,"my terminal emulator of choice."
,transset-df,"allows me to set transparency on xterm"
A,st,"is another terminal emulator"
,rofi,"is the application launcher"
,man-db,"implements man on arch."
,man-pages,"provides linux man pages."
,w3m,"terminal web browser that also provides tools we need for image previews."
,ffmpeg,"record and slice video and audio on the command line"
,ffmpegthumbnailer,"generates image preview of video"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is a video player"
,xf86-video-intel,"is needed for some intel graphics cards."
