#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,nordic-theme,"gives the dark GTK theme used in eLARBS."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,ueberzug,"used for image previews in lf."
A,ckb-next,"used for corsair keyboard lighting control."
A,nerd-fonts-jetbrains-mono,"fuck fira code."
,teamspeak-3,"discord but old"
,nvidia-beta,"nvidia gpu driver."
,nvidia-settings,"nvidia settings."
,steam,"i must consoooom the vidya."
,discord,"pisscord."
,lib32-nvidia-utils,"nvidia 32bit."
,wqy-zenhei,"steam asian font stuff."
,xfce4-screenshooter,"required for sharenix."
A,ttf-material-design-icons-desktop-git,"muh modernist icons."
A,gallery-dl,"used for downloading degeneracy."
A,nodejs,"needed for zoomer nvim setup."
A,npm,"needed for zoomer nvim setup."
P,neovim,"needed for zoomer nvim setup."
A,htop-vim-git,"is a graphical and colorful system monitor."
G,https://github.com/elwolf6/slstatus.git,"serves as the modular status bar."
G,https://github.com/elwolf6/dmenu.git,"runs commands and provides a UI for selection."
,terminology,"A good open source terminal written in C that works with w3m and you transparency."
G,https://github.com/elwolf6/dwm.git,"is the window manager."
A,betterdiscord-git,"plugins and themes for discord."
A,sharenix-git,"easily upload files, screenshots, and shorten links."
A,betterdiscordctl,"used for updating and installing better discord."
A,p7zip,"zip and 7zip tool"
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,moreutils,"is a collection of useful unix tools."
,clang,"needed for muh vim shit"
A,jdk-temurin,"adoptopenjdk"
,intellij-idea-community-edition,"Java IDE"
,github-cli,"github cli"
A,multimc5,"minecraft launcher"
,ttf-ibm-plex,"is a good mono,serif, and sans font."
,llvm,"LLVM."
A,ccls-git,"CPP Language server."
,openvpn,"openvpn."
